Name,AI custom autofill,AI summary,Approval Pathway,Country,Country1,Date,Document Created,Document Updated,Entrepreneurial Founder,Founding Shock,Individuals,Predecessor,Published,Region,Related to UK WWII (Column),Source,Successor,Tags,URL,Unit Created,Unit Dissolved
Special Interrogation Group,"Key dates mentioned in the text include the formation of the Special Interrogation Group, which is associated with the No 51 Commando, and operations concerning the individuals Israel Carmi and Karl Kahana in the region of Egypt.","Special Interrogation Group is associated with the UK, previously known as No 51 Commando, and includes individuals Israel Carmi and Karl Kahana. The document was created on December 15, 2015, and updated on April 10, 2024, focusing on the region of Egypt.",,UK,"BRITAIN, GB, UK",,"December 15, 2015 11:37 PM","April 10, 2024 3:54 AM",,,"Israel Carmi, Karl Kahana",No 51 Commando,,Egypt,,,,"Commando 51, SiG",,,
German Special Forces of World War II,"- Brandenburgers: Formed in 1939, with operations in Poland.
- Special Duties Battalion 800: Active in Holland in 1940.
- Special Duties Regiment 800: Engaged in the Balkans in 1941.
- North Africa: Operations involving the Von Koenen Detachment, Special Units 287 & 288 during 1942-43.
- Operation Barbarossa: Conducted in 1941, with activities in Maikop in 1942, continuing dispersed operations from 1942-44.
- Panzergrenadier Division 'Brandenburg': Active from 1944 to 1945.
- SS Special Duties Unit Friedenthal: Associated with SS Light Infantry Battalion 502.
- The Mussolini raid: Conducted in July 1943.
- Berlin: Operations in July 1944 led by Walter Girg.
- The Horthy raid: Took place in October 1944.
- Panzerbrigade 150: Engaged in the Ardennes in December 1944.
- The Oder front: Operations from February to April 1945.
- SS-Paratroop Battalion 500: Involved in activities in Bosnia in 1944.
- Tito raid: Operations in Lithuania and Budapest.
- SS-Paratroop Battalion 600: Active on the Oder front from January to March 1945, and on the Berlin front in April 1945.
- Small Battle Units: Established in April 1944 under Helmuth Heye and Fritz Frauenheim, including Lehrkommandos 200, 250, 300, 350, 600 & 700.","The document outlines the German special forces during World War II, detailing units such as the Brandenburgers and various SS special duties units, along with their operations across Europe, including Poland, North Africa, and the Balkans. It also mentions specific missions like the Mussolini raid and the Tito raid, as well as naval units employing midget submarines and assault boats.",,Germany,,,"February 19, 2016 1:06 PM","June 21, 2024 7:24 AM",,,,,,,,,,"Germany, Individuals, Otto Skorzeny",,,
SAARF – Special Allied Airborne Reconnaissance Force🐸,,"SAARF (Special Allied Airborne Reconnaissance Force) was a multi-national organization created in early 1945 to ensure the safety of Prisoners of War (POWs) in the hands of the Germans. The organization consisted of Contact Teams that were parachuted or transported to POW camps to observe and report on prisoner safety. SAARF successfully secured the release of Western Allied prisoners in several missions, including Operation VIOLET. The organization was disbanded on July 1, 1945.",,,"EuroAllied, UK, US",,"January 25, 2018 2:53 PM","April 10, 2024 3:53 AM",,,,,,,,Military History Online,,WWII,http://www.militaryhistoryonline.com/wwii/articles/saarf.aspx,,
Decima Flottiglia MAS🐸,,"This document provides information about the Decima Flottiglia MAS, an Italian naval unit during World War II. It covers their operations, armistice, successor units, and their actions in popular culture. The Xª MAS played a significant role in naval operations, anti-partisan actions, and defense of Italian national borders.",,Italy,"IT, ITA, ITL",,"February 25, 2018 1:53 PM","April 8, 2024 9:55 AM",,,,,,,,,,"Decima Flottiglia MAS, Naval Units, Navy, Palyam, WWII",https://www.wikiwand.com/en/Decima_Flottiglia_MAS,,
No 1 COMMANDO,"- July 1940: Formation of No 1 Commando.
- September 1941: First significant action, raiding French beaches.
- March 1942: Participation in Operation Chariot, the St Nazaire raid.
- November 1942: Involvement in Operation Torch (North Africa).
- April 1943: Return to England after fighting in Tunisia.
- 1941: Lt-Gen Alan Bourne becomes Commander of Raiding Operations, later replaced by Roger Keyes, and then by Lord Mountbatten.","No 1 Commando was formed in 1940 for hit-and-run operations during WWII, participating in key raids in France and North Africa, and later in Burma, demonstrating adaptability and effectiveness in various combat environments.",,UK,"British Isles, ENGLAND, UK",,"March 3, 2019 4:27 AM","May 19, 2025 4:40 AM",,,,"1st Ranger Battalion, Independent Companies, Special Operations Executive",,"France, North Africa, Southeast Asia",No 1 Commando (https://www.notion.so/No-1-Commando-ae904d92cc7846108129b17b9c8ad34a?pvs=21),Combined Operations Project,"1/5 Commando, British Special Operations Group, Marine Corps Amphibious Reconnaissance Company",Commando,http://www.combinedops.com/No%201%20Commando.htm,,
No 4 COMMANDO,"- Formation: July 1940
- Operations:
- Lofoten Islands, Norway: March 4, 1941
- Canary Islands: Planned but abandoned
- Vaagso, Norway (Operation Archery): December 27, 1941
- St. Nazaire: March 23, 1942
- Hardelot (Operation Abercromby): April 21/22, 1942
- Dieppe: August 19, 1942
- D-Day: June 6, 1944
- Walcheren: November 1-8, 1944
- Organizational Changes:
- Initial Commando units established: July 1940
- Reorganization with 3 Special Service Battalion: October 1940
- Transition to Army Commandos overseas: Early 1943
- New structure with No.1 SS Brigade: Late 1943
- Disbandment: November 1945","No. 4 Commando, formed in 1940, participated in key operations during WWII including raids on Norway, St. Nazaire, and D-Day, ultimately disbanding in 1946 after significant contributions to Allied efforts in Europe.",,UK,"ENG, GB, UK",,"March 3, 2019 4:28 AM","May 19, 2025 4:45 AM",,,,"1st Ranger Battalion, Combined Operations Assault Group, No 2 Commando, No 3 Special Service Battalion, No 8 Commando, Royal Marines Boom Patrol Detachment",,"France, Northern Europe, Norway",No 4 Commando (https://www.notion.so/No-4-Commando-e8ccde0cb2e549cebb91ba9d3c1d6f31?pvs=21),Combined Operations Project,"Combined Operations Assault Group, Marine Corps Amphibious Reconnaissance Company, Navy Scouts and Raiders",Commando,http://www.combinedops.com/no_4_commando.htm,,
No 5 COMMANDO,"The document does not provide specific key dates related to the formation, key operations, or organizational changes of No 5 Commando. It only mentions ""Measure"" without further details.",No content,,UK,"British, ENGLAND, UK",,"March 3, 2019 4:28 AM","September 19, 2020 2:28 PM",,,,"1st Ranger Battalion, 2nd Special Service Brigade, No 8 Commando",,"Anglo-Saxon Territories, British Isles, Western Europe",No 5 Commando (https://www.notion.so/No-5-Commando-0f54ee9ddb6144c380ca813dfb88a265?pvs=21),Combined Operations Project,"British Special Operations Group, Royal Marine Commandos, UK Joint Special Forces",Commando,http://www.combinedops.com/No%205%20Commando.htm,,
No. 9 COMMANDO,"The document does not contain specific key dates related to the formation, key operations, or organizational changes of No. 9 Commando.",No content,,UK,"COMMONWEALTH, Europe, UK",,"March 3, 2019 4:29 AM","September 19, 2020 2:28 PM",,,,"1st Ranger Battalion, 1st Special Air Service, 2nd Special Service Brigade, No 8 Commando, Royal Marines Boom Patrol Detachment, Special Operations Executive",,"British Isles, Commonwealth, Europe",No 9 Commando (https://www.notion.so/No-9-Commando-e37604f3aafb4b40b42cd04100b30330?pvs=21),Combined Operations Project,"Elite Reconnaissance Task Force, Joint Special Operations Command, Unconventional Warfare Unit",Commando,http://www.combinedops.com/No%209%20Commando.htm,,
No. 11 (Scottish) Commando,"- Formation Date: July 1940
- Litani River Raid: June 1941
- Rommel HQ Raid (Operation Flipper): November 18, 1941
- Disbandment of the 11th Commando: September 1, 1941","This document provides information about No. 11 (Scottish) Commando and includes a list of fallen soldiers, details about their operations, and personal accounts from individuals who served in the commando.",,UK,"BRITAIN, Scotland, UK",,"March 3, 2019 4:29 AM","April 10, 2024 3:49 AM",,,,"No. 10 (Inter-Allied) Commando, No. 8 Commando, No. 9 Commando",,"Scotland, UK, Western Europe",No 11 Commando (https://www.notion.so/No-11-Commando-ff798ad1b24c471e8185e3ab7fb37778?pvs=21),Combined Operations Project,"British Special Operations Group, Marine Corps Amphibious Reconnaissance Company, UK Special Forces","Commando, UK, WWII",http://www.combinedops.com/Black%20Hackle.htm,,
No. 45 ROYAL MARINE COMMANDO 🐸,"- Formation of 45 Royal Marine Commando: August 1943
- D-Day (Normandy Landings): June 6, 1944
- Embarkation for Normandy: May 26, 1944
- Securing of bridges over the River Orne and the Caen Canal: June 6, 1944
- Significant actions on D-Day + 1: June 7, 1944
- Withdrawal to Merville: June 8, 1944
- Death of Marine Bernard Charles Sydney Fenton: June 13, 1944","This document provides information about the activities of No. 45 Royal Marine Commando during World War II. It includes details of their involvement in the D-Day landings, their actions in Franceville, and the casualties they suffered. The document also includes correspondence from individuals seeking information about their relatives who served in the commando.",,UK,"ENG, GB, UK",,"March 3, 2019 4:30 AM","April 11, 2024 4:36 AM",,,,"2nd Special Service Brigade, No. 45 Commando, Royal Marine Commando",,"France, Normandy, Western Europe",No 45 (RM) Commando (https://www.notion.so/No-45-RM-Commando-51fd994a8d054b34b1e2d031a05fb768?pvs=21),Combined Operations Project,"Marine Corps Amphibious Reconnaissance Company, Navy Scouts and Raiders, Royal Marine Special Operations Group",rm commando,http://www.combinedops.com/45%20Royal%20Marine%20Commando.htm,,
MIDDLE EAST COMMANDO,"- 1940: Proposals to create a Commando force in the Middle East; initial plans for Indian and Polish Commandos did not materialize.
- July 1940: Formation of No 50 Middle East Commando with a provisional strength of 371 all ranks.
- August 1940: Training began for No 50 Middle East Commando at Geneifa, Egypt.
- September 13, 1940: Italian forces crossed into Egypt; No 50 Commando was deployed.
- October 28/29, 1940: Planned operation to attack Italian seaplane base at Bomba was cancelled.
- January 16/17, 1941: Raid on the Dodecanese island of Kasos (Operation Blunt) was cancelled.
- February 23/24, 1941: Operation Abstention was launched, involving 200 men.
- March 1941: No 50 Middle East Commando left Castelorizzo for Crete.
- December 1, 1941: No 51 (Jewish) and No 52 Middle East Commandos were put on 24-hour notice to move for Operation Compass but were stood down.","This document provides a historical account of the Middle East Commando during the 1940s. It covers their recruitment, training, early deployments, and the operation in Castelorizzo. Despite facing challenges and setbacks, the Commandos demonstrated resilience and determination in their missions.",,UK,"BRITISH FORCES, COMMONWEALTH, UK",,"March 3, 2019 4:31 AM","April 10, 2024 3:56 AM",,,,"Middle East Special Operations Group, No 50 Commando, No 51 Commando",,"Egypt, MEDITERRANEAN COMMANDO, MIDDLE EAST COMMANDO, NORTH AFRICA COMMANDO",No 50 Commando (https://www.notion.so/No-50-Commando-bddcdd4e660f44c19f7b5d243a44e530?pvs=21),Combined Operations Project,"Marine Corps Amphibious Reconnaissance Company, Middle East Special Operations Group, Navy Scouts and Raiders",Commando,http://www.combinedops.com/50%20(MIDDLE_EAST)_COMMANDOS.htm,,
ROYAL NAVAL COMMANDOS🐸,,"The Royal Naval Commandos, also known as the Beach Commandos, played a pivotal role in controlling the movement of men, vehicles, and supplies during major amphibious landings. They were responsible for clearing beaches, marking beachhead limits, removing obstacles, providing intelligence, setting up supply dumps, and supporting troops. The RNCs underwent specialized training and took part in operations in Madagascar, Dieppe, Sicily, Italy, Normandy, Walcheren, the Rhine, Yugoslavia, Greece, and the Far East. Their contributions were crucial in the success of amphibious operations during World War II.",,UK,"BRITAIN, ENGLAND, UK",,"March 3, 2019 4:32 AM","April 10, 2024 3:48 AM",,,,,,,,Combined Operations Project,,Commando,http://www.combinedops.com/RN%20Commando.htm,,
RAF SERVICING COMMANDOS,,"The RAF Servicing Commandos were involved in military training, amphibious landings, and servicing a wide range of aircraft during the 1940s. They were deployed in the Mediterranean, Normandy, and South East Asia, and their operations were influenced by events such as the surrender of Japan. The units had specific training centers and were disbanded at different times.",,UK,"COMMONWEALTH, ENGLAND, UK",,"March 3, 2019 4:32 AM","April 11, 2024 4:36 AM",,,,,,,,Combined Operations Project,,Commando,http://www.combinedops.com/ROYAL_AIR_SERVICING_COMMANDO.htm,,
ROYAL AIR SERVICING COMMANDOS UNIT 3201,,No content,,UK,"AUS, CAN, UK",,"March 3, 2019 4:34 AM","April 10, 2024 3:47 AM",,,,,,,,Combined Operations Project,,Commando,http://www.combinedops.com/Royal_Air_Servicing_Commando_3201.htm,,
"GREEK SACRED SQUADRON, SACRED SQUADRON🐸",,"The Greek Sacred Squadron played a significant role in the 1940s, participating in raids and operations in various Greek islands during World War II. They successfully conducted raids on Nisyros and Tilos, capturing German soldiers and destroying war material. The Squadron continued their operations in Rhodes and Alimnia, achieving further success. Their contributions were recognized, and they played a crucial role in the liberation of the Aegean islands.",,Greece,"EU, UK, US",,"March 3, 2019 4:34 AM","April 9, 2024 4:06 AM",,,,,,,,Combined Operations Project,,Commando,http://www.combinedops.com/SACRED_SQUADRON.htm,,
CANADA'S BEACH COMMANDOS🐸,"- August 1943: Formation of W Commando with Royal Canadian Navy volunteers.
- Winter of 1943–44: Six-month training period at HMS Armadillo in Scotland.
- February 1944: Completion of the Ardentinney course and transfer to HMS Lizard in Hove, England.
- D-Day (June 6, 1944): W Commando's involvement in maintaining order on Juno Beach during the Normandy landings.
- Early May 1944: Move to HMS Vectis, a minor landing craft base near Cowes on the Isle of Wight.
- Six weeks after D-Day: W Commando maintained beach operations until the establishment of the Mulberry Harbours and capture of French ports.","W Commando, Canada's Beachhead Commandos, were trained for D-Day landings at Juno Beach, focusing on maintaining supply chains and conducting various military operations, including chemical warfare and demolitions, while facing harsh training conditions and enemy fire. They played a crucial role in the success of the Normandy invasion.",,Canada,"ALLIED, COMMONWEALTH, UK",,"March 3, 2019 4:35 AM","May 19, 2025 4:53 AM",,,,,,,,Combined Operations Project,,"Canada, Commando, naval commandos",http://www.combinedops.com/W%20Commando.htm,,
Observer Group,"- January 13, 1941: Major General Holland M. Smith relinquished command of the 1st Marine Division and became Commanding General of I Corps (Provisional), U.S. Atlantic Fleet.
- December 1941: The joint unit was designated as the ""Observer Group.""
- August 1942: The Army and Navy separated their joint effort for North Africa in Operation Torch.
- January 7, 1943: The remaining Observer Group, commanded by Captain James L. Jones Sr., formed the Amphibious Reconnaissance Company.","The Observer Group was a joint U.S. Army and Marine Corps unit formed for amphibious reconnaissance during World War II, evolving into the Marine Corps Amphibious Reconnaissance Company and Navy Scouts and Raiders. Established in December 1941, it conducted training and reconnaissance exercises, experimenting with various methodologies and equipment, including inflatable boats. The unit played a crucial role in planning for the North African campaign and laid the groundwork for future naval amphibious intelligence operations.",,US,"U.S.A., US, USA",,"March 4, 2019 3:39 AM","November 10, 2025 7:42 AM",,,,,,,,Wikipedia,,"Commando, marnies",https://en.wikipedia.org/wiki/Observer_Group#cite_note-Rottman_1948-4,,
United States Special Operations Units,"- World War II:
- 1st Alaskan Combat Intelligence Platoon (Provisional) - Active during WWII
- 1st Special Service Force – Joint U.S.-Canadian unit, active during WWII
- 5307th Composite Unit (Provisional) – Active during WWII
- Marine Raiders – Active during WWII
- Office of Strategic Services – Active during WWII; precursor to the CIA

- Vietnam War:
- Fast Patrol Craft (PCF) – Active during the Vietnam War
- Long Range Reconnaissance Patrols (LRRPs) – Active during the Vietnam War
- Military Assistance Command, Vietnam Studies and Observations Group (MACV-SOG) – Active during the Vietnam War

- Other:
- 39th Special Forces Detachment – Active from 1952 to 1984
- 69th Special Forces Group – Active from 1963 to 1971
- Task Force Ranger – Active during Operation Gothic Serpent in 1993
- Task Force 20 and Task Force 121 – Active during Operation Iraqi Freedom
- Marine Corps Special Operations Command Detachment One (MCSOCOM-Det 1) – Active from June 19, 2003 to March 10, 2006","The United States has disbanded various special operations units across its military branches, created for specific conflicts. Notable units include those from World War II, such as the 1st Special Service Force and Merrill's Marauders, and Vietnam War units like MACV-SOG and Tiger Force. Other significant operations include Task Force Ranger in Somalia and Task Force 20 in Iraq, which targeted senior leadership of insurgent groups. These units were pivotal in unconventional warfare and counterinsurgency efforts throughout U.S. military history.",,US,"US, US-Alliance, US-Commando",,"March 4, 2019 3:42 AM","August 7, 2024 8:52 AM",,,,,,,,Wikipedia,,"Commando, US",https://en.wikipedia.org/wiki/List_of_former_United_States_special_operations_units,,
Underwater Demolition Team,"- August 1941: Landing trials performed; analysis of human intelligence capability begins.
- August 1942: Recon school for Navy Scouts and Raiders established.
- 1942: Amphibious Scout and Raider School established at Fort Pierce, Florida.
- November 1943: Naval Combat Demolition Units (NCDUs) created to clear amphibious obstructions.
- D-Day (June 6, 1944): NCDUs participate in the invasion of Normandy.
- 1945: UDTs participate in the invasion of Okinawa, marking the largest UDT operation.
- August 20, 1945: UDT 21 becomes the first U.S. military unit to set foot on Japanese soil.
- Mid-1950s: UDTs begin expanding their mission, leading to the creation of Navy SEALs.
- January 1962: SEAL Team ONE and SEAL Team TWO commissioned.
- May 1983: Remaining UDT teams reorganized as SEAL teams.","The Underwater Demolition Teams (UDT) were elite U.S. Navy special operations forces established during World War II, primarily tasked with reconnoitering and demolishing enemy obstacles on beaches before amphibious landings. They played significant roles in various conflicts, including the Korean and Vietnam Wars, and were instrumental in developing techniques for underwater demolitions and combat swimming. The UDTs eventually evolved into the Navy SEALs, reflecting an expanded mission that included land combat skills and unconventional warfare.",,US,,,"March 4, 2019 8:03 PM","April 10, 2024 3:52 AM",,,,,,,,Wikipedia,,"Commando, Naval Units, Navy Souts and Raiders, Phil H. Bucklew, UDT",https://en.wikipedia.org/wiki/Underwater_Demolition_Team#Normandy,,
WW2 Commandos,"- 1940: First call for volunteers for ‘Service of a hazardous nature’ and formation of Independent Companies.
- Early 1940: Commandos formed under the direction of Lt Col Dudley Clarke.
- Autumn 1940: Commandos and Independent Companies organized into five Special Service Battalions.
- February 1942: Formation of the first Royal Marine Commando unit.
- August 1943: Six additional Royal Marine Commandos raised.
- March 1944: Establishment of No. 48 RM Commando.
- August 1943: All Commandos grouped into four new Special Service Brigades.
- End of 1944: Redesignation of Special Service Brigades to Commando Brigades.
- Post-1945: Disbandment of Army Commandos and transition of Commando role to Royal Marines.","The Commando Veterans Archive highlights the history of Commandos from their formation in 1940, detailing their early volunteer recruitment, the establishment of Army and Royal Marine Commandos, and their organization into Special Service Brigades. Notable achievements include numerous battle honors and decorations awarded for bravery, with a focus on the unique volunteer nature of the units. After WWII, the Army Commandos were disbanded, transitioning the Commando role to the Royal Marines, with only a few units retained under the new designation.",,UK,"ENG, GB, UK",,"March 4, 2019 8:41 PM","January 5, 2026 11:27 AM",,,,,,,,Commando Veterans Archive,,"Commando, UK, WWII",http://www.commandoveterans.org/site/history,,
Commando Battle Honours,,"The Commando Veterans Association was granted Battle Honours by Her Majesty the Queen to commemorate the services of the Commandos in World War II. Thirty-eight Battle Honours were awarded, including engagements in Norway, Syria, North Africa, Sicily, Italy, Greece, Burma, and Normandy. The Battle Honours were laid up at Westminster Abbey in 1971.",,UK,"AUS, CAN, UK",,"March 4, 2019 8:42 PM","September 19, 2020 2:25 PM",,,,,,,,Commando Veterans Archive,,"Commando, UK, WWII",http://www.commandoveterans.org/battle_honours,,
Commando - History and Training 1940 -1945,"Key dates mentioned in the text include:

- Formation of Commandos: The document references a transcript from 1940 by Lt Col Charles Newman VC regarding the expectations of a Commando.
- Commando Basic Training Centre: Achnacarry became the center for Commando training, though the specific date is not provided.
- Commando Memorial Unveiling: The memorial was unveiled in 1952 by Her Majesty the Queen Mother.
- Publication Date: The document was published on February 10, 2014.","This document provides an overview of the history and training of the UK Commandos during the period of 1940-1945. It highlights the close association between serving Commandos, veterans, and their families, as well as the annual remembrance event at the Commando Memorial. The document also mentions a transcript of a document written in 1940 by Lt Col Charles Newman VC titled ""Service in a Commando"" and recommends books by Major James Dunning and Captain Donald Gilchrist for further reading.",,UK,"Australia, Canada, UK",,"March 4, 2019 8:43 PM","April 12, 2020 12:31 PM",,,,"1st Ranger Battalion, No 8 Commando, Special Operations Executive","February 10, 2014","Commonwealth, Europe, UK",Army Commandos (https://www.notion.so/Army-Commandos-7238fa23867045ecae802ed368a25d63?pvs=21),Commando Veterans Archive,"Marine Raiders Battalion, Paratroopers Brigade, Special Operations Executive (SOE)","Commando, UK, WWII",http://www.commandoveterans.org/Commando_History_and_Training,,
