Name,Country,Country Codes,Tags,Date Formed,Date Dissolved,Trigger of Formation,Key Individuals,Institutionalization
No. 1 Commando,UK,GB,"Army Commando, SS Brigade",Jun-40,1946,Churchill's June 1940 directive for raiding forces after Dunkirk,"Lt Col Dudley Clarke (concept originator), Churchill",Disbanded; legacy in 3 Commando Brigade RM
No. 2 Commando,UK,GB,"Army Commando, Parachute (original), STS Brigade",22 June 1940 (reformed Feb 1941),1946,Churchill's directive; original formation for parachute role; redesignated 11th SAS Bn Nov 1940; second No. 2 reformed from 1st SS Bn,"Lt Col A.C. Newman VC (CO, St Nazaire), Lt Col Jack Churchill",Original No. 2 became the Parachute Regiment (Aug 1942). Second No. 2 disbanded post-war
No. 3 Commando,UK,GB,"Army Commando, 1st SS Brigade",June/July 1940,1946,Churchill's June 1940 directive,Brig Peter Young DSO MC (notable CO),Disbanded; legacy in RM Commandos
No. 4 Commando,UK,GB,"Army Commando, 1st SS Brigade",June/July 1940,1946,Churchill's June 1940 directive,Lord Lovat (famous CO),Disbanded; legacy in RM Commandos
No. 5 Commando,UK,GB,"Army Commando, Far East",June/July 1940,Oct-46,Churchill's June 1940 directive,"Served Madagascar, India/Burma",Disbanded
No. 6 Commando,UK,GB,Army Commando,June/July 1940,1946,Churchill's June 1940 directive,—,Disbanded
No. 7 Commando,UK,GB,"Army Commando, Layforce, ME",June/July 1940,~Late 1941,Churchill's directive; sent to ME as 'A' Bn Layforce,Col Robert Laycock (Layforce CO),"Disbanded with Layforce. Personnel fed SAS, SBS, LRDG"
No. 8 (Guards) Commando,UK,GB,"Army Commando, Guards, Layforce",Jun-40,Late 1941,Churchill's directive; raised from Brigade of Guards,"Robert Laycock; David Stirling, Randolph Churchill, George Jellicoe (members)","Disbanded. Personnel founded SAS (Stirling), SBS (Jellicoe)"
No. 9 Commando,UK,GB,Army Commando,June/July 1940,1946,Churchill's June 1940 directive,—,Disbanded
No. 11 (Scottish) Commando,UK,GB,"Army Commando, Layforce, Scottish",23-Jun-40,Late 1941,Churchill's directive; sent to ME as 'C' Bn Layforce,"Lt Col Geoffrey Keyes VC (killed in Rommel HQ raid, Nov 1941)",Disbanded with Layforce
No. 12 Commando,UK,GB,"Army Commando, Raiding",June/July 1940,Late 1943,Churchill's directive; maintained raiding role,—,Disbanded late 1943 to supply reinforcements
Combined Operations Headquarters (COHQ),UK,GB,"HQ, Tri-service, Planning",Jul-40,1947,Need for centralized tri-service amphibious/raiding planning after Fall of France,"Adm Roger Keyes (1940–41), Lord Mountbatten (1941–43), Maj Gen Laycock (1943–47)",Legacy in NATO joint ops doctrine; UK amphibious warfare HQ
Special Service Brigade & Signals Troops,UK,GB,"Brigade HQ, Signals",Nov-40,1945–46 (3 Cdo Bde survives),Need to organize growing Commando units under centralized command,Brig J.C. Haydon (first CO); redesignated Commando Brigades Dec 1944,3 Commando Brigade RM – active today
Independent Companies and Special Service Battalions,UK,GB,"Precursor, Territorial Army, Norway",Apr-40,Late 1940–Feb 1941,German invasion of Norway (Apr 1940); need for guerrilla raiding force,Col Colin Gubbins (MI(R)); Maj Gen R.H. Dewing,Direct precursors to Commandos. Gubbins later led SOE
No. 51 (Middle East) Commando,UK / Palestine,GB,"Commando, ME, East Africa, Palestinian volunteers",Oct-40,~Late 1941,Decision to form Commandos in Egypt for ME operations,Lt Col Henry J. Cator MC (CO); ~300 Palestinian Jewish/Arab volunteers,Absorbed into ME Commando. Veterans joined SIG and other units
Special Operations Executive (SOE),UK,GB,"SOE, Special Operations, Sabotage, Resistance",22-Jul-40,15-Jan-46,Fall of France; Churchill's directive to 'set Europe ablaze',"Hugh Dalton (Minister), Sir Frank Nelson (1st CD), Brig Colin Gubbins (Dir Ops/CD), Gladwyn Jebb",280 personnel absorbed into MI6. Influenced CIA creation via OSS partnership
Long Range Desert Group (LRDG),UK / NZ,GB/NZ,"Desert, Recon, Long Range Patrol, LRDG",June 1940 (as Long Range Patrol; renamed Nov 1940),Aug-45,Need for deep penetration reconnaissance in Western Desert; intelligence gap in Libya,Maj Ralph A. Bagnold (founder); Gen Wavell (authorized); predominantly NZ volunteers initially,No direct successor. Influenced post-war SAS and long-range recon doctrine
Special Boat Section/Squadron (SBS),UK,GB,"Naval SF, Canoe, Frogmen, SBS, Commando","Late 1940 (as Folboat Troop, No. 8 Commando)",Active post-war,Capt Roger Courtney proved covert canoe infiltration by boarding HMS Glengyle,Capt Roger 'Jumbo' Courtney (founder); Lord Jellicoe (independent SBS CO from 1943),Special Boat Service – active today (RM; renamed 1987)
Auxiliary Units,UK,GB,"Stay-Behind, Guerrilla, Home Defence",Jul-40,~1944,Threat of German invasion of Britain post-Dunkirk; Churchill ordered formation,Col Colin Gubbins (organizer); Capt Peter Fleming; trained at Coleshill House,Never activated. Many members later recruited into SAS and SOE
MI9,UK,GB,"Intelligence, Escape & Evasion (NOT SOF), MI9",23-Dec-39,~1945,Need to facilitate POW escapes and debrief returning personnel for intelligence,Brig Norman Crockatt DSO MC (founder/head); Airey Neave; Christopher Clayton Hutton (escape gadgets),Successor: Reserve Reconnaissance Unit → 23 SAS Regiment
No. 50 (ME) Commando,UK,GB,"Commando, ME",Sep-40,~Late 1941,Raised locally in Egypt for ME operations,—,Merged into 'D' Bn Layforce; disbanded
No. 52 (ME) Commando,UK,GB,"Commando, ME, East Africa",~Late 1940,~Late 1941,Raised locally in Egypt for ME operations,—,Merged into 'D' Bn Layforce; disbanded
